username,id,stargazers_sum,forks_sum
mrshenli,16999635,6,4
shaoyf42,128945052,0,0
ykddd,9820294,0,0
udbhav1,6306726,11,3
suo,1617424,60,27
mrshenli,16999635,6,4
shaoyf42,128945052,0,0
ykddd,9820294,0,0
udbhav1,6306726,11,3
suo,1617424,60,27
Valentine233,23010269,6,4
z71258847,29646934,0,0
huydhn,475357,48,8
H-Huang,14858254,2,2
jerryzh168,4958441,2,2
yimo1999,71289623,0,0
